"Timestamp","Do you plan to vote in 2019 election?","According to your opinion, in your area which party has the highest possibility of wining the next presidential election ?","Who are you planning to vote in the coming election ?","Reason for above selection ?","What is the most important factor you will consider when voting ?","What is your age range?","Male / Female","What is your religion?","What is your highest educational qualification?","What is your current employment status ?","What is your ethnicity?","Your province?","District","Who do you think has the best expertise in the area of national security? ","Who do you think has the best expertise in the area of national development? ","Which candidate has the best answer for unemployment?","Which candidate has the best answer for cost of living?","Which candidate has the best answer to religious and ethnic issues?"
"2019/11/08 8:01:41 pm GMT+5:30","Not sure","New Democratic Front (NDF)","Sajith Premadasa (New Democratic Front)","","Religious issues","35 - 55","Female","Hinduism","A/L","Housewife","Sinhala","Sabaragamuwa","Kegalle","Nandasena Gotabaya Rajapaksa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa"
"2019/11/08 8:03:40 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National security","Greater than 55","Female","Catholic","A/L","Housewife","Sri Lankan Tamil","North Western","Puttalam","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa",""
"2019/11/08 8:05:33 pm GMT+5:30","Yes","New Democratic Front (NDF)","Sajith Premadasa (New Democratic Front)","","National development","25 - 35","Female","Buddhism","Degree / Higher diploma or Professional qualification","Government employee","Sinhala","Sabaragamuwa","Matale","Nandasena Gotabaya Rajapaksa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa"
"2019/11/08 8:07:21 pm GMT+5:30","Yes","National People's Power (NPP)","Anura Kumara Dissanayake (National People's Power)","","Cost of living","25 - 35","Female","Catholic","A/L","Self-employed","Sri Lankan Tamil","Uva","Nuwara Eliya","Nandasena Gotabaya Rajapaksa","Anura Kumara Dissanayake","Anura Kumara Dissanayake","Anura Kumara Dissanayake","Anura Kumara Dissanayake"
"2019/11/08 8:08:50 pm GMT+5:30","Not sure","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National security","25 - 35","Female","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Western","Colombo","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/08 8:10:16 pm GMT+5:30","Yes","National People's Power (NPP)","Anura Kumara Dissanayake (National People's Power)","","Cost of living","35 - 55","Female","Catholic","A/L","Housewife","Sinhala","North Western","Kurunegala","Nandasena Gotabaya Rajapaksa","Anura Kumara Dissanayake","Anura Kumara Dissanayake","Anura Kumara Dissanayake","Anura Kumara Dissanayake"
"2019/11/08 8:12:50 pm GMT+5:30","Yes","New Democratic Front (NDF)","Sajith Premadasa (New Democratic Front)","","National development","35 - 55","Female","Catholic","A/L","Self-employed","Sinhala","Sabaragamuwa","Matale","Nandasena Gotabaya Rajapaksa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa"
"2019/11/08 8:14:24 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National development","35 - 55","Female","Hinduism","A/L","Housewife","Sri Lankan Tamil","North Western","Puttalam","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/08 8:16:33 pm GMT+5:30","Not sure","New Democratic Front (NDF)","Sajith Premadasa (New Democratic Front)","","National development","25 - 35","Female","Buddhism","A/L","Private Sector employee","Sinhala","North Central","Anuradhapura","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa"
"2019/11/08 8:18:44 pm GMT+5:30","Not sure","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National development","Less than 25","Female","Buddhism","A/L","Housewife","Sinhala","Central","Anuradhapura","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/08 8:20:26 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","Employment opportunities","25 - 35","Female","Catholic","A/L","Private Sector employee","Sinhala","North Western","Puttalam","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/08 8:21:45 pm GMT+5:30","Not sure","New Democratic Front (NDF)","Sajith Premadasa (New Democratic Front)","","Employment opportunities","Less than 25","Female","Hinduism","A/L","Self-employed","Indian Tamil","Uva","Nuwara Eliya","Nandasena Gotabaya Rajapaksa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa"
"2019/11/08 8:23:02 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National security","25 - 35","Female","Catholic","Degree / Higher diploma or Professional qualification","Government employee","Sinhala","Western","Kalutara","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/08 8:24:30 pm GMT+5:30","Not sure","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National security","25 - 35","Female","Hinduism","A/L","Private Sector employee","Sri Lankan Tamil","Northern","Jaffna","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/08 8:25:53 pm GMT+5:30","Not sure","National People's Power (NPP)","Anura Kumara Dissanayake (National People's Power)","","Cost of living","Less than 25","Female","Buddhism","A/L","Private Sector employee","Sinhala","Uva","Badulla","Nandasena Gotabaya Rajapaksa","Anura Kumara Dissanayake","Anura Kumara Dissanayake","Anura Kumara Dissanayake","Anura Kumara Dissanayake"
"2019/11/08 8:28:13 pm GMT+5:30","Not sure","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","Cost of living","25 - 35","Female","Catholic","A/L","Housewife","Sinhala","North Western","Kurunegala","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/08 8:30:10 pm GMT+5:30","Not sure","New Democratic Front (NDF)","Sajith Premadasa (New Democratic Front)","","National development","35 - 55","Female","Catholic","O/L","Government employee","Sinhala","Sabaragamuwa","Kegalle","Nandasena Gotabaya Rajapaksa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa"
"2019/11/08 8:32:53 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National security","25 - 35","Female","Catholic","Degree / Higher diploma or Professional qualification","Government employee","Sinhala","Western","Kalutara","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/08 8:34:59 pm GMT+5:30","Yes","New Democratic Front (NDF)","Sajith Premadasa (New Democratic Front)","","National development","Less than 25","Female","Buddhism","A/L","Housewife","Sinhala","Southern","Hambantota","Nandasena Gotabaya Rajapaksa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa"
"2019/11/08 8:37:26 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National development","25 - 35","Female","Buddhism","Degree / Higher diploma or Professional qualification","Government employee","Sinhala","North Central","Kilinochchi","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/09 7:20:30 am GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Mahesh Senanayake (National People's Party)","Only honest candidate","National security","35 - 55","Female","Catholic","Degree / Higher diploma or Professional qualification","Government employee","Sinhala","Southern","Matara","Mahesh Senanayake","Nandasena Gotabaya Rajapaksa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa"
