"Timestamp","Do you plan to vote in 2019 election?","According to your opinion, in your area which party has the highest possibility of wining the next presidential election ?","Who are you planning to vote in the coming election ?","Reason for above selection ?","What is the most important factor you will consider when voting ?","What is your age range?","Male / Female","What is your religion?","What is your highest educational qualification?","What is your current employment status ?","What is your ethnicity?","Your province?","District","Who do you think has the best expertise in the area of national security? ","Who do you think has the best expertise in the area of national development? ","Which candidate has the best answer for unemployment?","Which candidate has the best answer for cost of living?","Which candidate has the best answer to religious and ethnic issues?"
"2019/11/05 1:29:27 pm GMT+5:30","Not sure","New Democratic Front (NDF)","Sajith Premadasa (New Democratic Front)","","Cost of living","25 - 35","Male","Catholic","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Western","Gampaha","Other","Other","Other","Other","Other"
"2019/11/05 1:38:01 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","He is the most suitable leader out of all the candidates and he has proved his capability of a proper leadership.","National security","35 - 55","Male","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Western","Colombo","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/05 4:03:04 pm GMT+5:30","Yes","National People's Party (NPP)","Mahesh Senanayake (National People's Party)","We need a system I feel like the above candidate is fit to run the country ","National development","Less than 25","Female","Catholic","Degree / Higher diploma or Professional qualification","Self-employed","Sinhala","Western","Colombo","Mahesh Senanayake","Mahesh Senanayake","Mahesh Senanayake","Mahesh Senanayake","Mahesh Senanayake"
"2019/11/05 4:20:22 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National development","Less than 25","Female","Buddhism","Master's degree","Private Sector employee","Sinhala","Western","Colombo","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/05 4:23:49 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National security","25 - 35","Male","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Central","Kandy","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/05 4:26:02 pm GMT+5:30","Not sure","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","The first thing we need is safety and the deceplean in the country ","National security","Less than 25","Female","Catholic","Degree / Higher diploma or Professional qualification","Stuent","Sinhala","Western","Gampaha","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/05 4:26:10 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Mahesh Senanayake (National People's Party)","","National development","25 - 35","Male","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Western","Gampaha","Nandasena Gotabaya Rajapaksa","Anura Kumara Dissanayake","Anura Kumara Dissanayake","Anura Kumara Dissanayake","Anura Kumara Dissanayake"
"2019/11/05 4:31:59 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","He is the best leader for our country.His decisions are straight.","National development","25 - 35","Female","Buddhism","Master's degree","Private Sector employee","Sinhala","Southern","Galle","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/05 4:32:10 pm GMT+5:30","Yes","National People's Party (NPP)","Mahesh Senanayake (National People's Party)","Establish the low and order","Other","25 - 35","Male","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Central","Kandy","Mahesh Senanayake","Mahesh Senanayake","Mahesh Senanayake","Mahesh Senanayake","Mahesh Senanayake"
"2019/11/05 9:05:39 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Sajith Premadasa (New Democratic Front)","","National development","Less than 25","Female","Islam","O/L","Stuent","Sri Lankan Moor","Western","Colombo","Mahesh Senanayake","Anura Kumara Dissanayake","Other","Anura Kumara Dissanayake","Sajith Premadasa"
